Model Type,Epoch,Model Size,Total Parameters,Accuracy,Loss
2 hidden,4,"(3, 6, 3, 1, 1, 1, 6, 3, 1, 1, 1)",4348,52.886,1.341244293981806
2 hidden,5,"(3, 6, 3, 1, 1, 1, 6, 3, 1, 1, 1)",4348,54.294,1.3016805753988379
2 hidden,1,"(3, 9, 3, 1, 1, 1, 9, 3, 1, 1, 1)",6760,42.756,1.604746442316743
2 hidden,2,"(3, 9, 3, 1, 1, 1, 9, 3, 1, 1, 1)",6760,52.306,1.3514435111409258
2 hidden,3,"(3, 9, 3, 1, 1, 1, 9, 3, 1, 1, 1)",6760,55.66,1.2620702658010565
2 hidden,4,"(3, 9, 3, 1, 1, 1, 9, 3, 1, 1, 1)",6760,57.882,1.2046825178443927
2 hidden,5,"(3, 9, 3, 1, 1, 1, 9, 3, 1, 1, 1)",6760,59.598,1.1582379194781602
2 hidden,1,"(3, 12, 3, 1, 1, 1, 12, 3, 1, 1, 1)",9334,43.734,1.5872232165482953
2 hidden,2,"(3, 12, 3, 1, 1, 1, 12, 3, 1, 1, 1)",9334,54.698,1.28861930547163
2 hidden,3,"(3, 12, 3, 1, 1, 1, 12, 3, 1, 1, 1)",9334,59.048,1.172776103477039
2 hidden,4,"(3, 12, 3, 1, 1, 1, 12, 3, 1, 1, 1)",9334,61.164,1.1099217987578849
2 hidden,5,"(3, 12, 3, 1, 1, 1, 12, 3, 1, 1, 1)",9334,62.78,1.068499658876063
2 hidden,1,"(3, 15, 3, 1, 1, 1, 15, 3, 1, 1, 1)",12070,45.848,1.5282244956706796
2 hidden,2,"(3, 15, 3, 1, 1, 1, 15, 3, 1, 1, 1)",12070,56.916,1.2297725291813122
2 hidden,3,"(3, 15, 3, 1, 1, 1, 15, 3, 1, 1, 1)",12070,60.696,1.1220332102854844
2 hidden,4,"(3, 15, 3, 1, 1, 1, 15, 3, 1, 1, 1)",12070,63.176,1.0608596131777215
2 hidden,5,"(3, 15, 3, 1, 1, 1, 15, 3, 1, 1, 1)",12070,64.742,1.0183979104394498
2 hidden,1,"(3, 18, 3, 1, 1, 1, 18, 3, 1, 1, 1)",14968,47.598,1.4858251395432844
2 hidden,2,"(3, 18, 3, 1, 1, 1, 18, 3, 1, 1, 1)",14968,58.268,1.1875562555802144
2 hidden,3,"(3, 18, 3, 1, 1, 1, 18, 3, 1, 1, 1)",14968,62.194,1.08258298595848
2 hidden,4,"(3, 18, 3, 1, 1, 1, 18, 3, 1, 1, 1)",14968,64.73,1.0091688806748451
2 hidden,5,"(3, 18, 3, 1, 1, 1, 18, 3, 1, 1, 1)",14968,66.228,0.9656503828590178
2 hidden,1,"(3, 21, 3, 1, 1, 1, 21, 3, 1, 1, 1)",18028,47.086,1.4922183154489073
2 hidden,2,"(3, 21, 3, 1, 1, 1, 21, 3, 1, 1, 1)",18028,58.456,1.178725737668669
2 hidden,3,"(3, 21, 3, 1, 1, 1, 21, 3, 1, 1, 1)",18028,63.036,1.0603170272944225
2 hidden,4,"(3, 21, 3, 1, 1, 1, 21, 3, 1, 1, 1)",18028,65.592,0.9844156477762305
2 hidden,5,"(3, 21, 3, 1, 1, 1, 21, 3, 1, 1, 1)",18028,67.41,0.9336388046326844
2 hidden,1,"(3, 24, 3, 1, 1, 1, 24, 3, 1, 1, 1)",21250,47.628,1.4779125588476811
2 hidden,2,"(3, 24, 3, 1, 1, 1, 24, 3, 1, 1, 1)",21250,60.112,1.14665619278198
2 hidden,3,"(3, 24, 3, 1, 1, 1, 24, 3, 1, 1, 1)",21250,64.602,1.0171906602809497
2 hidden,4,"(3, 24, 3, 1, 1, 1, 24, 3, 1, 1, 1)",21250,67.356,0.9380245565453453
2 hidden,5,"(3, 24, 3, 1, 1, 1, 24, 3, 1, 1, 1)",21250,69.08,0.8944076138841527
3 hidden,1,"(3, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1)",218,10.0,2.304253215680037
3 hidden,2,"(3, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1)",218,10.056,2.3027346862856386
3 hidden,3,"(3, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1)",218,9.91,2.302715595420974
3 hidden,4,"(3, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1)",218,9.97,2.302723572687115
3 hidden,5,"(3, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1)",218,9.688,2.302731974960288
3 hidden,1,"(3, 2, 3, 1, 1, 1, 2, 2, 3, 1, 1, 1, 2, 2, 3, 1, 1, 1)",462,9.892,2.3039717662060046
3 hidden,2,"(3, 2, 3, 1, 1, 1, 2, 2, 3, 1, 1, 1, 2, 2, 3, 1, 1, 1)",462,9.954,2.3027323780157376
3 hidden,3,"(3, 2, 3, 1, 1, 1, 2, 2, 3, 1, 1, 1, 2, 2, 3, 1, 1, 1)",462,9.64,2.302761478192361
3 hidden,4,"(3, 2, 3, 1, 1, 1, 2, 2, 3, 1, 1, 1, 2, 2, 3, 1, 1, 1)",462,9.634,2.3027543427084414
3 hidden,5,"(3, 2, 3, 1, 1, 1, 2, 2, 3, 1, 1, 1, 2, 2, 3, 1, 1, 1)",462,9.842,2.302733882918687
3 hidden,1,"(3, 4, 3, 1, 1, 1, 4, 4, 3, 1, 1, 1, 4, 4, 3, 1, 1, 1)",1058,29.818,1.9450873580125287
3 hidden,2,"(3, 4, 3, 1, 1, 1, 4, 4, 3, 1, 1, 1, 4, 4, 3, 1, 1, 1)",1058,39.876,1.6841504178998414
3 hidden,3,"(3, 4, 3, 1, 1, 1, 4, 4, 3, 1, 1, 1, 4, 4, 3, 1, 1, 1)",1058,42.316,1.6144528928620125
3 hidden,4,"(3, 4, 3, 1, 1, 1, 4, 4, 3, 1, 1, 1, 4, 4, 3, 1, 1, 1)",1058,43.832,1.5775167467953908
3 hidden,5,"(3, 4, 3, 1, 1, 1, 4, 4, 3, 1, 1, 1, 4, 4, 3, 1, 1, 1)",1058,44.592,1.5501021808370605
3 hidden,1,"(3, 6, 3, 1, 1, 1, 6, 6, 3, 1, 1, 1, 6, 6, 3, 1, 1, 1)",1798,33.69,1.8285111819996553
3 hidden,2,"(3, 6, 3, 1, 1, 1, 6, 6, 3, 1, 1, 1, 6, 6, 3, 1, 1, 1)",1798,43.76,1.5541953548141147
3 hidden,3,"(3, 6, 3, 1, 1, 1, 6, 6, 3, 1, 1, 1, 6, 6, 3, 1, 1, 1)",1798,46.274,1.490122015671352
3 hidden,4,"(3, 6, 3, 1, 1, 1, 6, 6, 3, 1, 1, 1, 6, 6, 3, 1, 1, 1)",1798,48.226,1.4431922595824123
3 hidden,5,"(3, 6, 3, 1, 1, 1, 6, 6, 3, 1, 1, 1, 6, 6, 3, 1, 1, 1)",1798,49.818,1.4009737305324097
3 hidden,1,"(3, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1)",2682,35.668,1.786472302263655
3 hidden,2,"(3, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1)",2682,46.05,1.4967302704406211
3 hidden,3,"(3, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1)",2682,50.032,1.393018627563096
3 hidden,4,"(3, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1)",2682,52.218,1.3463472597434392
3 hidden,5,"(3, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1)",2682,53.498,1.3080389580458327
3 hidden,1,"(3, 10, 3, 1, 1, 1, 10, 10, 3, 1, 1, 1, 10, 10, 3, 1, 1, 1)",3710,36.598,1.758439835532547
3 hidden,2,"(3, 10, 3, 1, 1, 1, 10, 10, 3, 1, 1, 1, 10, 10, 3, 1, 1, 1)",3710,47.924,1.4561187208765913
3 hidden,3,"(3, 10, 3, 1, 1, 1, 10, 10, 3, 1, 1, 1, 10, 10, 3, 1, 1, 1)",3710,52.038,1.3481189729002736
3 hidden,4,"(3, 10, 3, 1, 1, 1, 10, 10, 3, 1, 1, 1, 10, 10, 3, 1, 1, 1)",3710,54.318,1.2898340181011678
3 hidden,5,"(3, 10, 3, 1, 1, 1, 10, 10, 3, 1, 1, 1, 10, 10, 3, 1, 1, 1)",3710,55.908,1.2492210107386266
3 hidden,1,"(3, 12, 3, 1, 1, 1, 12, 12, 3, 1, 1, 1, 12, 12, 3, 1, 1, 1)",4882,39.69,1.6625862408172138
3 hidden,2,"(3, 12, 3, 1, 1, 1, 12, 12, 3, 1, 1, 1, 12, 12, 3, 1, 1, 1)",4882,49.524,1.4029660541992968
3 hidden,3,"(3, 12, 3, 1, 1, 1, 12, 12, 3, 1, 1, 1, 12, 12, 3, 1, 1, 1)",4882,53.458,1.306866791547107
