Model Type,Epoch,Model Size,Total Parameters,Accuracy,Loss
2 hidden,4,"(3, 6, 3, 1, 1, 1, 6, 3, 1, 1, 1)",4348,53.23,1.32472496561687
2 hidden,5,"(3, 6, 3, 1, 1, 1, 6, 3, 1, 1, 1)",4348,54.716,1.287060013207633
2 hidden,1,"(3, 9, 3, 1, 1, 1, 9, 3, 1, 1, 1)",6760,42.964,1.6037925774484034
2 hidden,2,"(3, 9, 3, 1, 1, 1, 9, 3, 1, 1, 1)",6760,52.74,1.3387616505403348
2 hidden,3,"(3, 9, 3, 1, 1, 1, 9, 3, 1, 1, 1)",6760,55.844,1.2604559028087674
2 hidden,4,"(3, 9, 3, 1, 1, 1, 9, 3, 1, 1, 1)",6760,57.52,1.2089592657430703
2 hidden,5,"(3, 9, 3, 1, 1, 1, 9, 3, 1, 1, 1)",6760,58.886,1.1702745278625537
2 hidden,1,"(3, 12, 3, 1, 1, 1, 12, 3, 1, 1, 1)",9334,43.22,1.598790243458565
2 hidden,2,"(3, 12, 3, 1, 1, 1, 12, 3, 1, 1, 1)",9334,54.84,1.290814237673874
2 hidden,3,"(3, 12, 3, 1, 1, 1, 12, 3, 1, 1, 1)",9334,58.238,1.1911731549083728
2 hidden,4,"(3, 12, 3, 1, 1, 1, 12, 3, 1, 1, 1)",9334,60.314,1.132742617517481
2 hidden,5,"(3, 12, 3, 1, 1, 1, 12, 3, 1, 1, 1)",9334,62.132,1.0864481701875282
2 hidden,1,"(3, 15, 3, 1, 1, 1, 15, 3, 1, 1, 1)",12070,45.85,1.5248017996320944
2 hidden,2,"(3, 15, 3, 1, 1, 1, 15, 3, 1, 1, 1)",12070,56.184,1.249586221964463
2 hidden,3,"(3, 15, 3, 1, 1, 1, 15, 3, 1, 1, 1)",12070,59.594,1.1569017902816958
2 hidden,4,"(3, 15, 3, 1, 1, 1, 15, 3, 1, 1, 1)",12070,62.098,1.0868139097757656
2 hidden,5,"(3, 15, 3, 1, 1, 1, 15, 3, 1, 1, 1)",12070,63.954,1.0352345464555808
2 hidden,1,"(3, 18, 3, 1, 1, 1, 18, 3, 1, 1, 1)",14968,47.136,1.4945239400314858
2 hidden,2,"(3, 18, 3, 1, 1, 1, 18, 3, 1, 1, 1)",14968,58.916,1.1816715399932374
2 hidden,3,"(3, 18, 3, 1, 1, 1, 18, 3, 1, 1, 1)",14968,62.86,1.0710938546206334
2 hidden,4,"(3, 18, 3, 1, 1, 1, 18, 3, 1, 1, 1)",14968,65.304,1.0049616231028076
2 hidden,5,"(3, 18, 3, 1, 1, 1, 18, 3, 1, 1, 1)",14968,66.488,0.962725525926751
2 hidden,1,"(3, 21, 3, 1, 1, 1, 21, 3, 1, 1, 1)",18028,47.284,1.4855748353254459
2 hidden,2,"(3, 21, 3, 1, 1, 1, 21, 3, 1, 1, 1)",18028,58.254,1.183974671394319
2 hidden,3,"(3, 21, 3, 1, 1, 1, 21, 3, 1, 1, 1)",18028,63.196,1.0593262840719784
2 hidden,4,"(3, 21, 3, 1, 1, 1, 21, 3, 1, 1, 1)",18028,65.564,0.9880907128534049
2 hidden,5,"(3, 21, 3, 1, 1, 1, 21, 3, 1, 1, 1)",18028,67.526,0.9379077815948544
2 hidden,1,"(3, 24, 3, 1, 1, 1, 24, 3, 1, 1, 1)",21250,48.022,1.4685200665460523
2 hidden,2,"(3, 24, 3, 1, 1, 1, 24, 3, 1, 1, 1)",21250,59.294,1.153809934016079
2 hidden,3,"(3, 24, 3, 1, 1, 1, 24, 3, 1, 1, 1)",21250,63.666,1.0390935430441366
2 hidden,4,"(3, 24, 3, 1, 1, 1, 24, 3, 1, 1, 1)",21250,66.228,0.9652718681356182
2 hidden,5,"(3, 24, 3, 1, 1, 1, 24, 3, 1, 1, 1)",21250,68.39,0.9100242337912244
3 hidden,1,"(3, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1)",218,10.016,2.303719172087472
3 hidden,2,"(3, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1)",218,9.872,2.302995612859116
3 hidden,3,"(3, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1)",218,13.176,2.2669636724550095
3 hidden,4,"(3, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1)",218,26.878,2.0207640217698137
3 hidden,5,"(3, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1)",218,29.92,1.9538549600964616
3 hidden,1,"(3, 2, 3, 1, 1, 1, 2, 2, 3, 1, 1, 1, 2, 2, 3, 1, 1, 1)",462,26.458,2.009662330607929
3 hidden,2,"(3, 2, 3, 1, 1, 1, 2, 2, 3, 1, 1, 1, 2, 2, 3, 1, 1, 1)",462,34.328,1.8282373178645472
3 hidden,3,"(3, 2, 3, 1, 1, 1, 2, 2, 3, 1, 1, 1, 2, 2, 3, 1, 1, 1)",462,36.894,1.7779020093895894
3 hidden,4,"(3, 2, 3, 1, 1, 1, 2, 2, 3, 1, 1, 1, 2, 2, 3, 1, 1, 1)",462,38.142,1.7417762198716478
3 hidden,5,"(3, 2, 3, 1, 1, 1, 2, 2, 3, 1, 1, 1, 2, 2, 3, 1, 1, 1)",462,38.968,1.7149248644519035
3 hidden,1,"(3, 4, 3, 1, 1, 1, 4, 4, 3, 1, 1, 1, 4, 4, 3, 1, 1, 1)",1058,29.108,1.9399590885547726
3 hidden,2,"(3, 4, 3, 1, 1, 1, 4, 4, 3, 1, 1, 1, 4, 4, 3, 1, 1, 1)",1058,40.566,1.6451554536209692
3 hidden,3,"(3, 4, 3, 1, 1, 1, 4, 4, 3, 1, 1, 1, 4, 4, 3, 1, 1, 1)",1058,44.314,1.5435563078926653
3 hidden,4,"(3, 4, 3, 1, 1, 1, 4, 4, 3, 1, 1, 1, 4, 4, 3, 1, 1, 1)",1058,46.06,1.5019963990391978
3 hidden,5,"(3, 4, 3, 1, 1, 1, 4, 4, 3, 1, 1, 1, 4, 4, 3, 1, 1, 1)",1058,47.09,1.4781128875434857
